id,producer_id,name,name_short,variant_name,variant_name_short,model_name,erp_product_id,shop_id,shop_variant_id,show_from,show_to,ean,parent_product_id,product_availability_id,price_selling,price_old,has_variant,vat_rate_id,product_category_id,producer_code,season,date_created,partner_id,sold_out_score,category1,category2,category3,category4,producer
549353,67,Dámská bunda Regatta Women's Kadley Midlayer - M / světle modrá,Dámská bunda Regatta Women's Kadley Midlayer,Velikost: M / Barva: světle modrá,M / světle modrá,Women's Kadley Midlayer,778985,188086,1162665,2026-04-14 00:00:00,2036-04-20 00:00:00,5063516372998,549335,2,1099,1829,,1,113,RWL307_C0Q_12L,SS26,2026-04-21 00:59:55,,0.9,Oblečení,Mikiny,Dámské mikiny,Dámské mikiny,Regatta
457667,131,Pánské turistické boty Salewa Puez 2 Mid Ptx M - 43 / černá,Pánské turistické boty Salewa Puez 2 Mid Ptx M,Velikost bot (EU): 43 / Barva: černá,43 / černá,Puez 2 Mid Ptx M,690390,160410,951547,2025-04-27 00:00:00,2036-04-20 00:00:00,4053866876421,457662,2,4499,5000,,1,251,00-0000061471_971,SS26,2026-04-21 00:59:55,,0.5,Boty,Trekové boty,Pánské trekové boty,Pánské kotníkové trekové boty,Salewa
533608,399,Dětský klobouk Reima Mustekala - 52-54 cm / fialová,Dětský klobouk Reima Mustekala,Obvod hlavy: 52-54 cm / Barva: fialová,52-54 cm / fialová,Mustekala,764103,183870,1126902,2026-04-19 00:00:00,2026-04-19 00:00:00,6438557322650,533603,1,690,690,,1,480,5300155C5451052,SS26,2026-04-21 00:59:55,,0,Oblečení,Doplňky k oblečení,"Čepice, šátky a kukly",Klobouky,Reima
428042,123,Dámský batoh Deuter AC Lite 21 SL,Dámský batoh Deuter AC Lite 21 SL,,,AC Lite 21 SL,657941,150361,,2026-03-24 00:00:00,2036-04-20 00:00:00,,,2,2379,2699,true,1,80,,,2026-04-21 00:59:55,,0,"Batohy, tašky, kufry",Batohy,Turistické batohy a krosny,Turistické batohy a krosny,Deuter
540723,419,Pomocná karabina Edelrid Micro 3 - oranžová,Pomocná karabina Edelrid Micro 3,Barva: oranžová,oranžová,Micro 3,771118,184993,1143379,2026-03-16 00:00:00,2036-04-20 00:00:00,4021573304292,537834,2,79,89,,1,639,718690039000,SS26,2026-04-21 00:59:55,,1,Horolezecké vybavení,Horolezecké karabiny,Pomocné karabiny,Pomocné karabiny,Edelrid
450590,408,"Skládací hrnec Warg Fold Cookpot 2,5l - zelená","Skládací hrnec Warg Fold Cookpot 2,5l",Barva: zelená,zelená,"Fold Cookpot 2,5l",681789,158029,935689,2025-06-18 00:00:00,2036-04-21 00:00:00,8595698838193,450587,2,599,799,,1,299,,SS26,2026-04-21 00:59:55,,1,Vybavení,Vaření a jídlo,Kempingové nádobí,Kempingové hrnce,Warg
450718,302,"Lezečky La Sportiva Ondra Comp - 44,5 / černá/žlutá",Lezečky La Sportiva Ondra Comp,"Velikost bot (EU): 44,5 / Barva: černá/žlutá","44,5 / černá/žlutá",Ondra Comp,687189,158095,935953,2025-03-23 00:00:00,2036-04-20 00:00:00,8058428092499,450704,2,4049,4499,,1,163,ZFCS046,SS26,2026-04-21 00:59:55,,0.3,Horolezecké vybavení,Lezečky (lezecké boty),Lezečky (lezecké boty),Lezečky (lezecké boty),La Sportiva
497286,68,Dámská lyžařská bunda Dare 2b Sk iLife Jacket - XXS / fialová,Dámská lyžařská bunda Dare 2b Sk iLife Jacket,Velikost: XXS / Barva: fialová,XXS / fialová,Sk iLife Jacket,729339,171496,1044894,2026-01-19 00:00:00,2036-04-20 00:00:00,5063516199434,497275,10,2299,5119,,1,210,DWP592_909_06L,FW25,2026-04-21 00:59:55,,0.8,Oblečení,Bundy,Zimní bundy,Dámské zimní bundy,Dare 2b
308545,151,Pánská bunda Direct Alpine PEAK,Pánská bunda Direct Alpine PEAK,,,PEAK,549420,119143,,2025-01-13 00:00:00,2036-04-20 00:00:00,,,2,3529,6490,true,1,239,,,2026-04-21 00:59:55,,1,Oblečení,Bundy,Přechodné jarní a podzimní bundy,Pánské jarní a podzimní bundy,Direct Alpine
221483,154,Elektrická pumpa Intex Quick-Fill Battery Air,Elektrická pumpa Intex Quick-Fill Battery Air,,,Quick-Fill Battery Air,193084,91702,,2026-02-11 00:00:00,2036-04-20 00:00:00,,,2,209,299,true,1,380,,,2026-04-21 00:59:55,,1,Vybavení,Pumpy na paddleboardy a matrace,Pumpy na paddleboardy a matrace,Pumpy na paddleboardy a matrace,Intex
342289,47,Ledvinka Osprey Seral 7 2025 - modrá,Ledvinka Osprey Seral 7 2025,Barva: modrá,modrá,Seral 7 2025,593460,129451,718516,2026-04-18 00:00:00,2026-04-18 00:00:00,843820159776,341912,1,1979,2699,,1,93,10030776OSP,FW25,2026-04-21 00:59:55,,0,"Batohy, tašky, kufry",Ledvinky,Ledvinky,Ledvinky,Osprey
